speedStability
Time,Value,Skidding
2,0,False
2.02,0.04128532,False
2.04,0.03042373,False
2.06,0.04670255,False
2.08,0.04319548,False
2.1,0.04502127,False
2.12,0.04145214,False
2.14,0.04102666,False
2.16,0.09449191,False
2.18,0.07533165,False
2.2,0.1188139,False
2.22,0.1188268,False
2.24,0.09955811,False
2.26,0.151148,False
2.28,0.1343884,False
2.3,0.1306277,False
2.32,0.1806992,False
2.34,0.1770315,False
2.36,0.1649269,False
2.38,0.1898971,False
2.4,0.1936614,False
2.42,0.2009312,False
2.44,0.2009804,False
2.46,0.1904586,False
2.48,0.2377267,False
2.5,0.2535273,False
2.52,0.2816918,False
2.54,0.2475511,False
2.56,0.3379866,False
2.58,0.3379863,False
2.6,0.3133639,False
2.62,0.3907271,False
2.64,0.4083344,False
2.66,0.4528685,False
2.68,0.4702519,False
2.7,0.5078149,False
2.72,0.5370106,False
2.74,0.5252352,False
2.76,0.6085161,False
2.78,0.6499886,False
2.8,0.6377892,False
2.82,0.7104077,False
2.84,0.7905596,False
2.86,0.8317476,False
2.88,0.8524653,False
2.9,0.9692419,False
2.92,1.010941,False
2.94,1.093279,False
2.96,1.095291,False
2.98,1.216704,False
3,1.308941,False
3.02,1.348586,False
3.04,1.453074,False
3.06,1.51934,False
3.08,1.606931,False
3.1,1.682905,False
3.12,1.789633,False
3.14,1.899019,False
3.16,1.961292,False
3.18,2.092403,False
3.2,2.17028,False
3.22,2.272423,False
3.24,2.372213,False
3.26,2.492154,False
3.28,2.616794,False
3.3,2.758872,False
3.32,2.860252,False
3.34,3.006494,False
3.36,3.123909,False
3.38,3.268186,False
3.4,3.412392,False
3.42,3.553736,False
3.44,3.705261,False
3.46,3.858256,False
3.48,4.016685,False
3.5,4.179452,False
3.52,4.346789,False
3.54,4.518651,False
3.56,4.695023,False
3.58,4.87588,False
3.6,5.061195,False
3.62,5.250946,False
3.64,5.445107,False
3.66,5.643661,False
3.68,5.846595,False
3.7,6.053892,False
3.72,6.265541,False
3.74,6.481531,False
3.76,6.701854,False
3.78,6.926496,False
3.8,7.155449,False
3.82,7.388702,False
3.84,7.626247,False
3.86,7.868076,False
3.88,8.114174,False
3.9,8.364532,False
3.92,8.619141,False
3.94,8.877987,False
3.96,9.141058,False
3.98,9.408349,False
4,9.67984,False
4.02,9.955522,False
4.04,10.23538,False
4.06,10.51663,False
4.08,10.79735,False
4.1,11.07751,False
4.12,11.35709,False
4.14,11.72912,False
4.16,11.79,False
4.18,12.26858,False
4.2,12.3728,False
4.22,12.81883,False
4.24,12.92925,False
4.26,13.37347,False
4.28,13.48116,False
4.3,13.92268,False
4.32,14.03667,False
4.34,14.47037,False
4.36,14.58622,False
4.38,15.01231,False
4.4,15.13839,False
4.42,15.55157,False
4.44,15.68772,False
4.46,16.08767,False
4.48,16.23588,False
4.5,16.6213,False
4.52,16.78193,False
4.54,17.15249,False
4.56,17.32582,False
4.58,17.68116,False
4.6,17.86743,False
4.62,18.20728,False
4.64,18.40659,False
4.66,18.73089,False
4.68,18.94306,False
4.7,19.25222,False
4.72,19.47651,False
4.74,19.77166,False
4.76,20.00662,False
4.78,20.28963,False
4.8,20.53314,False
4.82,20.8065,False
4.84,21.05605,False
4.86,21.32237,False
4.88,21.57554,False
4.9,21.83711,False
4.92,22.09196,False
4.94,22.35045,False
4.96,22.60567,False
4.98,22.86211,False
5,23.11692,False
5.02,23.37188,False
5.04,23.62592,False
5.06,23.87966,False
5.08,24.13274,False
5.1,24.38537,False
5.12,24.63744,False
5.14,24.88901,False
5.16,25.14005,False
5.18,25.39057,False
5.2,25.64057,False
5.22,25.89005,False
5.24,26.13902,False
5.26,26.38747,False
5.28,26.63541,False
5.3,26.88284,False
5.32,27.12975,False
5.34,27.37615,False
5.36,27.62204,False
5.38,27.86742,False
5.4,28.1123,False
5.42,28.35667,False
5.44,28.60053,False
5.46,28.84389,False
5.48,29.08674,False
5.5,29.32909,False
5.52,29.57094,False
5.54,29.81228,False
5.56,30.05313,False
5.58,30.29348,False
5.6,30.53333,False
5.62,30.77269,False
5.64,31.01155,False
5.66,31.24991,False
5.68,31.48778,False
5.7,31.72516,False
5.72,31.96205,False
5.74,32.19844,False
5.76,32.43435,False
5.78,32.66977,False
5.8,32.9047,False
5.82,33.13914,False
5.84,33.3731,False
5.86,33.60658,False
5.88,33.83956,False
5.9,34.07207,False
5.92,34.30409,False
5.94,34.53564,False
5.96,34.7667,False
5.98,34.99729,False
6,35.22739,False
6.02,35.45702,False
6.04,35.68618,False
6.06,35.91486,False
6.08,36.14307,False
6.1,36.3708,False
6.12,36.59806,False
6.14,36.82486,False
6.16,37.05117,False
6.18,37.27702,False
6.2,37.50241,False
6.22,37.72733,False
6.24,37.95177,False
6.26,38.17576,False
6.28,38.39928,False
6.3,38.62234,False
6.32,38.84494,False
6.34,39.06707,False
6.36,39.28875,False
6.38,39.50996,False
6.4,39.73072,False
6.42,39.95102,False
6.44,40.17086,False
6.46,40.39025,False
6.48,40.60918,False
6.5,40.82766,False
6.52,41.04568,False
6.54,41.26325,False
6.56,41.48037,False
6.58,41.69704,False
6.6,41.91327,False
6.62,42.12904,False
6.64,42.34436,False
6.66,42.55923,False
6.68,42.77367,False
6.7,42.98766,False
6.72,43.20121,False
6.74,43.41431,False
6.76,43.62698,False
6.78,43.8392,False
6.8,44.05098,False
6.82,44.26232,False
6.84,44.47322,False
6.86,44.68369,False
6.88,44.89371,False
6.9,45.10331,False
6.92,45.31247,False
6.94,45.52119,False
6.96,45.72948,False
6.98,45.93734,False
7,46.14477,False
7.02,46.35177,False
7.04,46.55834,False
7.06,46.76448,False
7.08,46.9702,False
7.1,47.17548,False
7.12,47.38034,False
7.14,47.58478,False
7.16,47.78879,False
7.18,47.99239,False
7.2,48.19555,False
7.22,48.3983,False
7.24,48.60062,False
7.26,48.80253,False
7.28,49.00401,False
7.3,49.20508,False
7.32,49.40574,False
7.34,49.60597,False
7.36,49.80579,False
7.38,50.0052,False
7.4,50.20419,False
7.42,50.40277,False
7.44,50.60093,False
7.46,50.79868,False
7.48,50.99603,False
